,Twitter Account,Tweet Date,Tweet,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBCNews,Tue Jun 19 02:46:04 +0000 2018,A battle to save Indonesia's orang-utans https://t.co/hJPhfrsTrE,0.1531,0.327,0.408,0.265,1
1,@BBCNews,Tue Jun 19 02:46:04 +0000 2018,XXXTentacion: Rapper's volatile life made compelling music https://t.co/4BCeXJckEv,0.2263,0.213,0.787,0.0,2
2,@BBCNews,Tue Jun 19 02:43:57 +0000 2018,Apple fined for misleading customers in Australia https://t.co/FMeExnxwB5,-0.4019,0.0,0.722,0.278,3
3,@BBCNews,Tue Jun 19 02:13:46 +0000 2018,Trump threatens additional $200bn in tariffs on China https://t.co/i1YLgeCEED,-0.3818,0.0,0.755,0.245,4
4,@BBCNews,Tue Jun 19 02:13:46 +0000 2018,Finsbury Park attack: Minute's silence held to mark anniversary https://t.co/1unAM4gVEf,-0.4767,0.0,0.744,0.256,5
5,@BBCNews,Tue Jun 19 01:55:11 +0000 2018,Tyson Fury: Former heavyweight champion looking forward to Windsor Park date https://t.co/pbLqNVF75O,0.0516,0.222,0.568,0.21,6
6,@BBCNews,Tue Jun 19 01:45:51 +0000 2018,"Cannabis war 'comprehensively lost', says William Hague https://t.co/UWDOCYWbCC",-0.5994,0.0,0.642,0.358,7
7,@BBCNews,Tue Jun 19 00:39:00 +0000 2018,Northern Rail: Guards row sparks fresh strikes https://t.co/QzFMWHukKh,-0.0516,0.213,0.556,0.231,8
8,@BBCNews,Tue Jun 19 00:18:36 +0000 2018,Pogba and more: World Cup haircuts to watch https://t.co/JzDFFS51lS,0.0,0.0,1.0,0.0,9
9,@BBCNews,Tue Jun 19 00:14:08 +0000 2018,'Ditch predicted grades' from university admissions https://t.co/TNjtSzrwbw,0.0,0.0,1.0,0.0,10
10,@BBCNews,Tue Jun 19 00:04:35 +0000 2018,Susanna Reid in 'constant battle' with Piers Morgan https://t.co/25bf5rzoHU,-0.3818,0.0,0.755,0.245,11
11,@BBCNews,Mon Jun 18 23:53:05 +0000 2018,How trying to stay cool could make the world even hotter https://t.co/J3QGF7j7S3,0.3182,0.173,0.827,0.0,12
12,@BBCNews,Mon Jun 18 23:53:05 +0000 2018,The Rolling Stones: How Eel Pie Island shaped the band's career https://t.co/kueZne7U7m,0.0,0.0,1.0,0.0,13
13,@BBCNews,Mon Jun 18 23:53:05 +0000 2018,Does Iran hold key to Dutch murder mystery? https://t.co/vl0XLiNgn3,-0.6908,0.0,0.63,0.37,14
14,@BBCNews,Mon Jun 18 23:50:52 +0000 2018,"KPMG's audit work unacceptable, says watchdog https://t.co/A1P7KzDFml",-0.4588,0.0,0.667,0.333,15
15,@BBCNews,Mon Jun 18 23:33:46 +0000 2018,Water firms failed customers during 'Beast from the East' https://t.co/Jcqt5wLo5O,-0.5106,0.0,0.732,0.268,16
16,@BBCNews,Mon Jun 18 23:10:34 +0000 2018,Trump immigration: 'We're not bad guys' say teens training for border patrol https://t.co/V9sossOm2P,0.431,0.192,0.808,0.0,17
17,@BBCNews,Mon Jun 18 23:10:34 +0000 2018,Syria: The girls who defied IS to keep learning https://t.co/3FX5CcO6f9,0.0,0.0,1.0,0.0,18
18,@BBCNews,Mon Jun 18 23:10:34 +0000 2018,Hereditary's musical composer explains what makes it so scary. https://t.co/5D9SlwProb,-0.6269,0.0,0.686,0.314,19
19,@BBCNews,Mon Jun 18 23:10:34 +0000 2018,'They morphed my face on to a porn clip' https://t.co/PlMiLnk4gy,0.0,0.0,1.0,0.0,20
20,@BBCNews,Mon Jun 18 22:58:40 +0000 2018,Newspaper headlines: NHS tax 'headache' and England's Captain Marvel https://t.co/8ib5wBf5ec,0.4215,0.237,0.763,0.0,21
21,@BBCNews,Mon Jun 18 22:44:32 +0000 2018,XXXTentacion: Controversial rapper shot dead in Florida https://t.co/ezbgFhzsbK,-0.7269,0.0,0.496,0.504,22
22,@BBCNews,Mon Jun 18 22:01:01 +0000 2018,Tuesday’s Mirror: Never hit my Meghan #tomorrowspaperstoday #BBCPapers (via @BBCHelenaLee) https://t.co/vF1SayqDQu,0.0,0.0,1.0,0.0,23
23,@BBCNews,Mon Jun 18 22:00:24 +0000 2018,Tuesday’s Daily Mail: Fleeced at the petrol pumps #tomorrowspaperstoday #BBCPapers (via @BBCHelenaLee) https://t.co/E5LPXdBFIg,0.0,0.0,1.0,0.0,24
24,@BBCNews,Mon Jun 18 21:59:45 +0000 2018,Tuesday’s Sun: Kane scores twice amid insect swarm and roars... I’M BUZZING! #tomorrowspaperstoday #BBCPapers (via… https://t.co/ISdFRZpeje,0.0,0.0,1.0,0.0,25
25,@BBCNews,Mon Jun 18 21:58:31 +0000 2018,World Cup 2018: How the England players rated v Tunisia https://t.co/KemQGvTbfM,0.0,0.0,1.0,0.0,26
26,@BBCNews,Mon Jun 18 21:51:39 +0000 2018,Kane's date with Tunisia in 13 tweets https://t.co/08TC5uZHpa,0.0,0.0,1.0,0.0,27
27,@BBCNews,Mon Jun 18 21:40:25 +0000 2018,Tuesday’s Express: Taxes will rise to pay for NHS boost #tomorrowspaperstoday #BBCPapers (via @BBCHelenaLee) https://t.co/6hg8lr2OxW,0.3182,0.158,0.76,0.082,28
28,@BBCNews,Mon Jun 18 21:40:14 +0000 2018,"Tuesday’s Times: There’s no more money, Hammond tells Cabinet #tomorrowspaperstoday #BBCPapers (via @BBCHelenaLee) https://t.co/I2bEsMlV8l",-0.296,0.0,0.855,0.145,29
29,@BBCNews,Mon Jun 18 21:40:06 +0000 2018,"Tuesday’s Guardian: US will not be ‘migrant camp like Europe’, declares Trump #tomorrowspaperstoday #BBCPapers (via… https://t.co/i9CfVhi8Tk",0.3612,0.143,0.857,0.0,30
30,@BBCNews,Mon Jun 18 21:26:07 +0000 2018,Royal Ascot 2018 preview: From Cracksman and Dettori to Coolmore and Godolphin https://t.co/G3lk8FqBaH,0.0,0.0,1.0,0.0,31
31,@BBCNews,Mon Jun 18 21:23:54 +0000 2018,Turkey issues warrant for NBA player Enes Kanter's father https://t.co/oCSxwLOGvN,0.0,0.0,1.0,0.0,32
32,@BBCNews,Mon Jun 18 21:12:23 +0000 2018,Tuesday’s i: Tax rises to pay for NHS boost #tomorrowspapertoday #bbcpapers (via @BBCHelenaLee) https://t.co/5ZKTVh7qjQ,0.3182,0.168,0.745,0.087,33
33,@BBCNews,Mon Jun 18 21:12:01 +0000 2018,Tuesday’s FT: May grants Hammond free hand on tax to fund £20bn NHS boost #tomorrowspaperstoday #bbcpapers (via… https://t.co/c07rMsCuci,0.8779,0.442,0.558,0.0,34
34,@BBCNews,Mon Jun 18 21:11:37 +0000 2018,Tuesday’s Metro: Now Phil the gap... #tomorrowspaperstoday #BBCPapers (via @BBCHelenaLee) https://t.co/5N8378QUGs,0.0,0.0,1.0,0.0,35
35,@BBCNews,Mon Jun 18 21:09:44 +0000 2018,"Tuesday’s Telegraph: War on cannabis lost, says Hague amid Cabinet row #tomorrowspaperstoday #BBCpapers (via… https://t.co/3S8xNnnQuL",-0.7351,0.0,0.677,0.323,36
36,@BBCNews,Mon Jun 18 20:52:06 +0000 2018,"Pomp and ceremony for Order of the Garter

More pictures: https://t.co/L59L9VzRVe https://t.co/vpNwUqye2P",0.0,0.0,1.0,0.0,37
37,@BBCNews,Mon Jun 18 20:31:50 +0000 2018,"World Cup 2018: Lineker, Shearer, Lampard &amp; Ferdinand react to Kane's winner https://t.co/tQndhlNiBa",0.5859,0.241,0.759,0.0,38
38,@BBCNews,Mon Jun 18 20:17:15 +0000 2018,Immigration rows: US and Germany compared https://t.co/EDrlV6sCVQ,0.0,0.0,1.0,0.0,39
39,@BBCNews,Mon Jun 18 20:16:41 +0000 2018,RT @bbcthree: Why my daughter wants a hysterectomy at 15' https://t.co/gGEMHNxvwW https://t.co/ycoPnE7SzT,0.0,0.0,1.0,0.0,40
40,@BBCNews,Mon Jun 18 20:15:05 +0000 2018,World Cup 2018: Harry Kane heads late England winner against Tunisia https://t.co/21xaIvn6GA,0.5859,0.257,0.743,0.0,41
41,@BBCNews,Mon Jun 18 20:03:01 +0000 2018,Tunisia 1-2 England https://t.co/EVJtOofdaH,0.0,0.0,1.0,0.0,42
42,@BBCNews,Mon Jun 18 20:01:24 +0000 2018,RT @BBCMOTD: Harry Kane is the first #ENG player to score a brace in a #WorldCup game since @GaryLineker did against Cameroon in 1990 ️⚽️️…,0.0,0.0,1.0,0.0,43
43,@BBCNews,Mon Jun 18 19:53:43 +0000 2018,"RT @BBCSport: FT #TUN 1-2 #ENG 

Captain Kane saves the day! 

@HKane's late goal earns all three points for England.

Live reaction:
📺 @BB…",0.0,0.0,1.0,0.0,44
44,@BBCNews,Mon Jun 18 19:50:39 +0000 2018,"RT @BBCSport: GOAL! #TUN 1-2 #ENG 

HARRY KANE AGAIN!

He nods in at the back post.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/i2VxrPuSf7

#…",0.0,0.0,1.0,0.0,45
45,@BBCNews,Mon Jun 18 19:48:57 +0000 2018,How hats were placed atop Easter Island statues https://t.co/MZWSo1Az9Z,0.0,0.0,1.0,0.0,46
46,@BBCNews,Mon Jun 18 19:44:17 +0000 2018,Trump space force: US to set up sixth military branch https://t.co/Gi1iwgbjtg,0.0,0.0,1.0,0.0,47
47,@BBCNews,Mon Jun 18 19:15:21 +0000 2018,World Cup 2018: Tunisia penalty pegs back England https://t.co/7gZhBNtkFX,-0.4588,0.0,0.727,0.273,48
48,@BBCNews,Mon Jun 18 19:00:04 +0000 2018,"RT @BBCWorld: Five things to know about US child migrant separations

https://t.co/MPudb4AXJx https://t.co/hynyrL1cT4",0.0,0.0,1.0,0.0,49
49,@BBCNews,Mon Jun 18 18:58:37 +0000 2018,Raft of safety flaws listed at Grenfell Tower Inquiry https://t.co/mFuA7pW8xZ,0.4215,0.237,0.763,0.0,50
50,@BBCNews,Mon Jun 18 18:35:08 +0000 2018,"RT @BBCSport: GOAL! #ENG 1-1 #TUN 

Sassi scores from the spot to draw Tunisia level...

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/i2VxrPuSf…",0.0,0.0,1.0,0.0,51
51,@BBCNews,Mon Jun 18 18:34:32 +0000 2018,"RT @richard_conway: England odds cut to 12/1 to win World Cup.
That sound you can hear is the whooshing noise of national expectation level…",0.4019,0.136,0.789,0.075,52
52,@BBCNews,Mon Jun 18 18:34:04 +0000 2018,"RT @BBCMOTD: PENALTY for #TUN! 

Walker with the foul.

Drama...

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/l6JYmNZTdW

#bbcworldcup #ThreeL…",-0.6155,0.0,0.777,0.223,53
53,@BBCNews,Mon Jun 18 18:33:03 +0000 2018,World Cup 2018: Tunisia v England - rate the players https://t.co/QX3Vgs05Hp,0.0,0.0,1.0,0.0,54
54,@BBCNews,Mon Jun 18 18:30:33 +0000 2018,World Cup 2018: Harry Kane gives England 1-0 lead against Tunisia https://t.co/6ZetOFJFKF,0.0,0.0,1.0,0.0,55
55,@BBCNews,Mon Jun 18 18:21:16 +0000 2018,Queen's nephew Lord Snowdon to seek election to Lords https://t.co/PU9u9LSzL6,0.0,0.0,1.0,0.0,56
56,@BBCNews,Mon Jun 18 18:15:45 +0000 2018,"RT @5liveSport: #ENG lead #TUN in Volgograd!

Want to watch the pictures with radio commentary? 📻

We've got you covered. 👊

Press the 🔴 or…",0.1511,0.07,0.93,0.0,57
57,@BBCNews,Mon Jun 18 17:43:11 +0000 2018,Queen's 2018: Would technology temper the tennis tantrums? https://t.co/zv6faYeIR8,-0.6486,0.0,0.569,0.431,58
58,@BBCNews,Mon Jun 18 17:38:32 +0000 2018,Trump says United States will not be a migrant camp https://t.co/MmyrdazG7h,0.4215,0.237,0.763,0.0,59
