,Twitter Account,Tweet Date,Tweet,Compound,Positive,Neutral,Negative,Tweets Ago
0,@CNN,Sat Jun 23 17:05:06 +0000 2018,"The Toyota Century, a car of choice for Japan's elites, just received a rare redesign
https://t.co/NHBur1tdX6 https://t.co/oKiza38ss4",0.0,0.0,1.0,0.0,1
1,@CNN,Sat Jun 23 17:01:02 +0000 2018,"Jane Clementi, whose 18-year-old son, Tyler Clementi, died by suicide after being bullied online, tells… https://t.co/uexCb8r1h4",-0.9217,0.0,0.516,0.484,2
2,@CNN,Sat Jun 23 16:45:13 +0000 2018,A 9-year-old boy in Greece permanently injured his left eye when he repeatedly gazed into a laser pointer's green b… https://t.co/fjNGjEQyxe,-0.4019,0.0,0.87,0.13,3
3,@CNN,Sat Jun 23 16:35:06 +0000 2018,New Zealand Prime Minister Jacinda Ardern became the first world leader in nearly 30 years to have a child while in… https://t.co/Gvia7MXOli,0.0,0.0,1.0,0.0,4
4,@CNN,Sat Jun 23 16:24:03 +0000 2018,"President Trump claims crime in Germany ""is way up."" 

But data from the German government shows that 2017 saw the… https://t.co/l9bndaHXuH",-0.5423,0.0,0.851,0.149,5
5,@CNN,Sat Jun 23 16:13:06 +0000 2018,"""Quit trying to make us feel teary-eyed for the children. Yes, I love children a great deal, but to me, it's up to… https://t.co/cmXmTvDm3y",0.7184,0.269,0.731,0.0,6
6,@CNN,Sat Jun 23 16:03:05 +0000 2018,There's nearly a Nixon 1974 level of public support for impeaching President Trump | Analysis by @zbyronwolf … https://t.co/8c6ojQNO23,0.4019,0.153,0.847,0.0,7
7,@CNN,Sat Jun 23 15:53:06 +0000 2018,Seth Rogen reveals he refused to take a photo with Paul Ryan https://t.co/WjPa0QtVjM https://t.co/0q8ojQw7Oa,-0.296,0.0,0.845,0.155,8
8,@CNN,Sat Jun 23 15:43:03 +0000 2018,Apple is promising free repairs for faulty MacBook keyboards after waves of complaints about malfunctions… https://t.co/TORyWoOIHz,0.25,0.261,0.522,0.217,9
9,@CNN,Sat Jun 23 15:33:06 +0000 2018,"Protesters angry over the death of unarmed teen Antwon Rose, who was shot by police this week, marched for the thir… https://t.co/FRECTWNcSG",-0.8442,0.0,0.676,0.324,10
