,Twitter Account,Tweet Date,Tweet,Compound,Positive,Neutral,Negative,Tweets Ago
0,@FoxNews,Sat Jun 23 17:07:02 +0000 2018,"Moments ago, President @realDonaldTrump tweeted ""Country’s economy is stronger than ever before."" https://t.co/4gAJWcVlSS",0.3818,0.178,0.822,0.0,1
1,@FoxNews,Sat Jun 23 17:00:01 +0000 2018,".@GovMikeHuckabee responds to his daughter @PressSec's tweet that said she was "" told by the owner of Red Hen in Le… https://t.co/FWBwJSx82T",0.0,0.0,1.0,0.0,2
2,@FoxNews,Sat Jun 23 16:45:00 +0000 2018,Sarah Sanders says she was thrown out of Virginia restaurant because she works for Trump https://t.co/eLA5p0CMZd https://t.co/sIuSavne6Y,0.0,0.0,1.0,0.0,3
3,@FoxNews,Sat Jun 23 16:38:45 +0000 2018,"‘Despair and Hope in America: Fox News Investigates’ – Don't miss part three of this special series on ‘Fox Report,… https://t.co/aTkxWLJ1J5",0.7557,0.305,0.695,0.0,4
4,@FoxNews,Sat Jun 23 16:33:19 +0000 2018,"'Ashamed' @Comey weighs calling himself Canadian, rips @POTUS border actions during Ireland visit… https://t.co/BpRQijU5Nl",0.0,0.0,1.0,0.0,5
5,@FoxNews,Sat Jun 23 16:29:00 +0000 2018,".@tedcruz: ""It ought to be entirely consistent to protect kids, to keep kids with their parents, and at the same ti… https://t.co/rfeIlymGXq",0.4336,0.12,0.88,0.0,6
6,@FoxNews,Sat Jun 23 16:23:19 +0000 2018,"Katie Arrington, who ousted Rep. Mark Sanford in primary, seriously injured in car crash https://t.co/LF1KRUe30M https://t.co/1MA0wLMddz",-0.7269,0.0,0.647,0.353,7
7,@FoxNews,Sat Jun 23 16:21:24 +0000 2018,"Fox News presents the moving story of Dr. Krauthammer’s life: ""Charles Krauthammer: His Words"" – Sunday at 8p ET. https://t.co/61hTRDo2SD",0.0,0.0,1.0,0.0,8
8,@FoxNews,Sat Jun 23 16:18:00 +0000 2018,'Sounds Like @realDonaldTrump': @GaryKaltbaum Calls Out @BarackObama's Immigration Views from 2005… https://t.co/8ASDW39orV,0.3612,0.185,0.815,0.0,9
9,@FoxNews,Sat Jun 23 16:10:08 +0000 2018,"Michael Cohen Denies Tom Arnold's Claim of Teaming Up to 'Take Down Trump'
https://t.co/wyy6cLmcne",-0.4215,0.0,0.823,0.177,10
10,@FoxNews,Sat Jun 23 16:00:08 +0000 2018,"Moments ago, @GovMikeHuckabee responded to his daughter @PressSec's tweet that said she was "" told by the owner of… https://t.co/lE5FrxibH2",0.0,0.0,1.0,0.0,11
11,@FoxNews,Sat Jun 23 15:45:38 +0000 2018,"Moments ago, @PressSec tweeted: ""Last night I was told by the owner of Red Hen in Lexington, VA to leave because I… https://t.co/fjRQAc2EQV",-0.0516,0.0,0.946,0.054,12
12,@FoxNews,Sat Jun 23 15:34:05 +0000 2018,".@Harlan: ""There's a term for this and I don't use it flippantly but it's 'Trump Derangement Syndrome.'"" #Cavuto https://t.co/WZOyuZzfJ8",0.0,0.0,1.0,0.0,13
13,@FoxNews,Sat Jun 23 15:29:37 +0000 2018,"'No Way, Man': @Sethrogen Says He Turned Down Photo With @SpeakerRyan https://t.co/0XTnuqdQva",-0.296,0.0,0.833,0.167,14
14,@FoxNews,Sat Jun 23 15:24:49 +0000 2018,".@DanPatrick: ""We have 30 border crossings with Mexico and Texas, where you can come up to the crossing if you were… https://t.co/qlubTRoaGR",0.0,0.0,1.0,0.0,15
15,@FoxNews,Sat Jun 23 15:15:59 +0000 2018,JUST IN: 'Fixer Upper' stars @chipgaines and @joannagaines welcome baby No. 5 https://t.co/J3Qef9MBrA,0.2023,0.197,0.658,0.145,16
16,@FoxNews,Sat Jun 23 15:14:00 +0000 2018,".@RepDesantis: ""I'm an Iraq veteran. I grew up in Florida. I'm a blue-collar kid. I've earned $6 an hour to get whe… https://t.co/N3R0m1kE0b",0.0,0.0,1.0,0.0,17
17,@FoxNews,Sat Jun 23 15:08:00 +0000 2018,"Moments ago, President @realDonaldTrump tweeted about Katie Arrington. https://t.co/LF1KRUe30M https://t.co/jGAsRAxdug",0.0,0.0,1.0,0.0,18
18,@FoxNews,Sat Jun 23 15:01:14 +0000 2018,"Katie Arrington, who ousted Rep. Mark Sanford in primary, seriously injured in car crash https://t.co/LF1KRUe30M https://t.co/t29eBcIhlD",-0.7269,0.0,0.647,0.353,19
19,@FoxNews,Sat Jun 23 14:54:56 +0000 2018,".@RepAndyBiggsAZ: ""There's more than Peter Strzok and Lisa Page. We need to find out all of those people who had th… https://t.co/4SIhZW4J5j",0.0,0.0,1.0,0.0,20
20,@FoxNews,Sat Jun 23 14:49:17 +0000 2018,Teacher suspended for being gay: How this is legal in 28 states https://t.co/bBTXmXY2Ex,-0.3818,0.096,0.705,0.199,21
21,@FoxNews,Sat Jun 23 14:39:00 +0000 2018,"Border Patrol Agent Hector Garza: ""We can't have open borders."" #Cavuto https://t.co/wrRavEofmX",0.0,0.0,1.0,0.0,22
22,@FoxNews,Sat Jun 23 14:29:53 +0000 2018,"On this day in 2016, Britain voted to leave the European Union in the so-called ""Brexit."" The “Leave” campaign won… https://t.co/mYRapY5KWO",-0.0516,0.0,0.943,0.057,23
23,@FoxNews,Sat Jun 23 14:22:20 +0000 2018,".@GaryKaltbaum: ""A quote...'We simply cannot allow people to pour into the U.S. undetected, undocumented, unchecked… https://t.co/IaHrwrolct",-0.1695,0.0,0.9,0.1,24
24,@FoxNews,Sat Jun 23 14:15:14 +0000 2018,"'Ashamed' Comey weighs calling himself Canadian, rips Trump border actions during Ireland visit https://t.co/271e5A4Mpc",0.0,0.0,1.0,0.0,25
25,@FoxNews,Sat Jun 23 14:00:49 +0000 2018,"""The guy shouldn't have been there and we had many opportunities to get him out.""

At a @WhiteHouse event yesterday… https://t.co/7XUTgWcLwl",0.3818,0.12,0.88,0.0,26
26,@FoxNews,Sat Jun 23 13:35:39 +0000 2018,"JUST IN: Katie Arrington, who ousted Rep. Mark Sanford in primary, seriously injured in car crash https://t.co/ZtIXojLN0x",-0.7269,0.0,0.664,0.336,27
27,@FoxNews,Sat Jun 23 13:31:19 +0000 2018,.@AlanDersh: “I think the Inspector General’s report shows us that we can get to the bottom of things without using… https://t.co/17BwLPbx44,0.0,0.0,1.0,0.0,28
28,@FoxNews,Sat Jun 23 13:25:45 +0000 2018,Four arrested during third night of protests in Pittsburgh over police shooting of unarmed teen https://t.co/jUMMxRP67R,-0.6124,0.0,0.737,0.263,29
29,@FoxNews,Sat Jun 23 13:17:37 +0000 2018,".@seanspicer: “If we as Americans, if we as a society can’t talk to each other, if we can’t engage in civil discour… https://t.co/luNJYbIfHy",0.34,0.103,0.897,0.0,30
30,@FoxNews,Sat Jun 23 13:03:18 +0000 2018,"'No Way, Man': Seth Rogen Says He Turned Down Photo With Paul Ryan https://t.co/VszLIf1ztI",-0.296,0.0,0.855,0.145,31
31,@FoxNews,Sat Jun 23 13:02:10 +0000 2018,"Bourbon storage facility collapses in Kentucky, sending barrels crashing to ground https://t.co/X2f5xupRGY",-0.296,0.0,0.833,0.167,32
32,@FoxNews,Sat Jun 23 12:49:50 +0000 2018,"Vinnie Paul, drummer for metal band Pantera, dies at age 54 https://t.co/Qx97V0o4xS",0.0,0.0,1.0,0.0,33
33,@FoxNews,Sat Jun 23 12:48:01 +0000 2018,.@VP Stumping for SC Governor Today https://t.co/NkojLZzrjh,0.0,0.0,1.0,0.0,34
34,@FoxNews,Sat Jun 23 12:39:07 +0000 2018,OPINION: Supreme Court ruling in cell phone case is a victory for our privacy rights https://t.co/UBEIPQ3xCH,0.5574,0.205,0.795,0.0,35
35,@FoxNews,Sat Jun 23 12:30:55 +0000 2018,Father's Day inspires Washington officer to recreate police photo with son 20 years later https://t.co/GStJw0rtdB,0.4404,0.172,0.828,0.0,36
36,@FoxNews,Sat Jun 23 12:24:21 +0000 2018,Hundreds in New Mexico call for end to family detentions https://t.co/qEnjH8GYYG,0.0,0.0,1.0,0.0,37
