,Twitter Account,Tweet Date,Tweet,Compound,Positive,Neutral,Negative,Tweets Ago
0,@NYTimes,Tue Jun 19 04:22:05 +0000 2018,"RT @nytopinion: If Republican lawmakers have any sense of self-preservation, much less moral decency, they will refuse to engage with Presi…",0.0516,0.102,0.805,0.093,1
1,@NYTimes,Tue Jun 19 04:02:01 +0000 2018,"A hat said to be Napoleon's has been auctioned off for over $400,000 in France https://t.co/D3erJ99rcv",0.0,0.0,1.0,0.0,2
2,@NYTimes,Tue Jun 19 03:56:52 +0000 2018,IBM Unveils System That ‘Debates’ With Humans https://t.co/HS83AaOEwo,0.0,0.0,1.0,0.0,3
3,@NYTimes,Tue Jun 19 03:47:04 +0000 2018,The Trump administration's tariffs on aluminum are setting off a fight in an arcane corner of the financial markets https://t.co/d1VgrngnnT,-0.3818,0.0,0.874,0.126,4
4,@NYTimes,Tue Jun 19 03:32:06 +0000 2018,"One of the trees in the Mariposa Grove of giant sequoias in Yosemite National Park is estimated to be 1,800 years o… https://t.co/tx6rfa1hnf",0.0,0.0,1.0,0.0,5
5,@NYTimes,Tue Jun 19 03:23:31 +0000 2018,RT @nytpolitics: President Trump’s homeland security secretary said the number of immigrants fraudulently posing as families has tripled. T…,0.4019,0.179,0.821,0.0,6
6,@NYTimes,Tue Jun 19 03:02:03 +0000 2018,"A federal judge said Kris Kobach, the Kansas secretary of state, failed during a trial to show evidence of widespre… https://t.co/ImTrv2SNQG",-0.5106,0.0,0.845,0.155,7
7,@NYTimes,Tue Jun 19 02:47:04 +0000 2018,RT @NYTNational: Republican senators in North Carolina unveiled legislation that would eliminate the final Saturday of early voting in stat…,0.0,0.0,1.0,0.0,8
8,@NYTimes,Tue Jun 19 02:33:06 +0000 2018,"Small businesses could band together to make their own insurance plans, skirting the Affordable Care Act, under a n… https://t.co/vR01lfASZU",0.4939,0.151,0.849,0.0,9
9,@NYTimes,Tue Jun 19 02:21:02 +0000 2018,Tim Cook has been pleading with the Trump White House to understand that a trade war is bad for the economy — and b… https://t.co/M7l6HsxGAJ,-0.8126,0.0,0.739,0.261,10
10,@NYTimes,Tue Jun 19 02:08:04 +0000 2018,"“Mami!” the children’s voices cry out, between sobs. “Papá!”

A recording of immigrant children calling out for the… https://t.co/if7K5O8J1C",-0.8011,0.0,0.69,0.31,11
11,@NYTimes,Tue Jun 19 01:57:03 +0000 2018,"-Men’s earnings increase by 6% when they become fathers
-A woman's hourly wages decrease by 4% with each child

(Th… https://t.co/1Dq4JyIxg4",0.3182,0.103,0.897,0.0,12
12,@NYTimes,Tue Jun 19 01:47:04 +0000 2018,"RT @nytopinion: .@PaulKrugman: What does American goodness have to do with American power, let alone world trade? The answer is that for 70…",0.25,0.115,0.808,0.077,13
13,@NYTimes,Tue Jun 19 01:32:02 +0000 2018,President Trump said that he would direct the Pentagon to establish a sixth branch of the armed forces dedicated to… https://t.co/RgiAAQrSi8,0.4588,0.136,0.864,0.0,14
14,@NYTimes,Tue Jun 19 01:17:03 +0000 2018,"RT @maggieNYT: Trump aides have encouraged him that the media is cherry-picking photos to show those of kids in cages, and aides have assur…",0.3612,0.098,0.902,0.0,15
15,@NYTimes,Tue Jun 19 01:02:06 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/6KWMKrriHB,0.0,0.0,1.0,0.0,16
16,@NYTimes,Tue Jun 19 00:47:02 +0000 2018,"U.N. high commissioner for human rights: ""The thought that any state would seek to deter parents by inflicting such… https://t.co/dHCoO6Ew3B",0.0,0.0,1.0,0.0,17
17,@NYTimes,Tue Jun 19 00:32:05 +0000 2018,"President Trump threatened tariffs on an additional $200 billion worth of Chinese goods, escalating a trade war wit… https://t.co/dfL2qosfnF",-0.7184,0.08,0.63,0.29,18
18,@NYTimes,Tue Jun 19 00:17:03 +0000 2018,"RT @NYTNational: “Mami!” the children’s voices cry out, between sobs. “Papá!” https://t.co/cjC7thRkDB",-0.8011,0.0,0.582,0.418,19
19,@NYTimes,Tue Jun 19 00:02:07 +0000 2018,"In Opinion, Contributing Writer Margaret Renkl writes: 

""A dog loves a person the way people love each other only… https://t.co/E35OEQQ9E3",0.836,0.317,0.683,0.0,20
20,@NYTimes,Mon Jun 18 23:47:28 +0000 2018,"The Senate voted to reinstate tough penalties on ZTE, setting up a clash with the White House https://t.co/ks6RlmmTHG",-0.128,0.0,0.914,0.086,21
21,@NYTimes,Mon Jun 18 23:32:05 +0000 2018,"Extreme heat advisories were in place in more than a dozen states in the Midwest and Northeast, but relief is on th… https://t.co/tphipTfYZV",0.631,0.165,0.835,0.0,22
22,@NYTimes,Mon Jun 18 23:17:03 +0000 2018,Former editors and reporters from The Denver Post are starting their own news outlet called The Colorado Sun https://t.co/afzbINrTB9,0.0,0.0,1.0,0.0,23
23,@NYTimes,Mon Jun 18 23:17:03 +0000 2018,"RT @joncaramanica: XXXTentacion, dead at 20
https://t.co/imhbhjxipx",-0.6486,0.0,0.583,0.417,24
24,@NYTimes,Mon Jun 18 23:02:07 +0000 2018,"Nina Simone's childhood home is now a National Treasure
https://t.co/xeXWpb7L7O",0.296,0.216,0.784,0.0,25
25,@NYTimes,Mon Jun 18 22:51:04 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/KRtSaAZz1F,0.0,0.0,1.0,0.0,26
26,@NYTimes,Mon Jun 18 22:37:44 +0000 2018,"RT @nytimesmusic: XXXTentacion, rising rapper accused of violence, shot dead at 20 https://t.co/OkQ1nrn5m6 https://t.co/AaAHWoA3GR",-0.891,0.0,0.509,0.491,27
27,@NYTimes,Mon Jun 18 22:32:03 +0000 2018,"Today, the Supreme Court declined to decide 2 challenges to partisan gerrymandering. Track all the biggest decision… https://t.co/1QVTN3hU8r",0.5994,0.246,0.754,0.0,28
28,@NYTimes,Mon Jun 18 22:11:25 +0000 2018,RT @FrancesRobles: El New York Times decidió no publicar las fotos distribuidas por el gobierno de los refugios en la frontera donde están…,-0.296,0.0,0.909,0.091,29
29,@NYTimes,Mon Jun 18 22:11:03 +0000 2018,RT @FrancesRobles: The New York Times decided as a newsroom not to publish the government handout photos of the border shelters where migra…,0.0,0.0,1.0,0.0,30
30,@NYTimes,Mon Jun 18 22:02:07 +0000 2018,"Yayoi Kusama first presented ""Narcissus Garden"" at the 1966 Venice Biennale. On July 1, it comes to the Rockaways. https://t.co/sYFGTUsARX",0.0,0.0,1.0,0.0,31
31,@NYTimes,Mon Jun 18 21:47:07 +0000 2018,"RT @NYTNational: ""They just ran over me, bro"": A video shows a Border Patrol vehicle knocking over a Native American on a reservation in so…",0.0,0.0,1.0,0.0,32
32,@NYTimes,Mon Jun 18 21:32:04 +0000 2018,"The giant sequoias of Yosemite, a “forest masterpiece,” are open for visitors again after a renovation to add walki… https://t.co/kNDfId5C1w",0.0,0.0,1.0,0.0,33
33,@NYTimes,Mon Jun 18 21:17:03 +0000 2018,"Christo's latest work is a structure made from 7,506 barrels, floating in London's Hyde Park https://t.co/TQLSI1ZXKV",0.0,0.0,1.0,0.0,34
34,@NYTimes,Mon Jun 18 21:11:04 +0000 2018,"RT @peterbakernyt: Another first lady heard from: Rosalynn Carter releases statement saying ""The practice and policy today of removing chil…",0.0,0.0,1.0,0.0,35
35,@NYTimes,Mon Jun 18 21:02:06 +0000 2018,RT @jessemckinley: NEW: @HealthNYGov plans to recommend legalizing #marijuana in NY. https://t.co/A0sFRDCzKE,0.3612,0.185,0.815,0.0,36
36,@NYTimes,Mon Jun 18 20:45:04 +0000 2018,"The World Cup fans descended on Volgograd, Russia. Then the bugs descended on them. https://t.co/2ohfuwyfET",0.0,0.0,1.0,0.0,37
37,@NYTimes,Mon Jun 18 20:30:13 +0000 2018,"Peter Buttigieg, a rising star in the Democratic Party, once wondered: “How does a sitting mayor in Indiana who’s g… https://t.co/sYFl3mqLNu",0.4019,0.13,0.87,0.0,38
