Index,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,6170031,tuktoyaktuk,ca,69.44,-133.03,271.15,94,68,4.1
1,3874787,punta arenas,cl,-53.16,-70.91,274.15,100,90,1.5
2,2074865,carnarvon,au,-24.87,113.63,292.475,100,0,1.12
3,3833367,ushuaia,ar,-54.81,-68.31,266.925,100,0,1.17
4,780687,berlevag,no,70.86,29.09,277.525,94,80,3.22
5,4032243,vaini,to,-21.2,-175.2,296.15,94,90,4.1
6,2209055,waddan,ly,29.16,16.14,299.325,47,88,2.12
7,964432,port alfred,za,-33.59,26.89,294.325,62,0,7.82
8,4030556,rikitea,pf,-23.12,-134.97,296.725,100,8,6.12
9,4147241,belle glade,us,26.68,-80.67,295.13,94,20,2.1
10,6355222,yulara,au,-25.24,130.99,301.15,14,90,5.1
11,1805618,tianmen,cn,30.65,113.16,300.025,74,88,5.67
12,1006984,east london,za,-33.02,27.91,292.15,32,0,4.1
13,2658135,viganello,ch,46.01,8.97,291.79,88,0,1.0
14,1490256,talnakh,ru,69.49,88.39,281.775,68,0,4.82
15,2077963,albany,au,-35.02,117.88,291.875,58,80,12.37
16,3526756,isla mujeres,mx,21.23,-86.73,300.15,83,40,3.1
17,1516048,hovd,mn,48.01,91.64,296.375,21,44,2.52
18,6165406,thompson,ca,55.74,-97.86,283.15,71,20,1.0
19,292968,abu dhabi,ae,24.47,54.37,307.15,71,0,2.6
20,3438102,fuerte olimpo,py,-21.04,-57.87,287.225,88,76,3.22
21,1507390,dikson,ru,73.51,80.55,275.875,83,12,5.07
22,3896218,castro,cl,-42.48,-73.76,275.075,99,36,1.77
23,1626381,sukabumi,id,-6.92,106.93,300.925,81,20,3.12
24,1066831,beroroha,mg,-21.68,45.17,290.875,81,0,1.87
25,2206939,bluff,nz,-46.6,168.33,284.675,89,92,10.32
26,2444995,filingue,ne,14.35,3.32,300.225,53,0,4.62
27,3370903,jamestown,sh,-15.94,-5.72,294.325,100,88,7.37
28,2449893,tessalit,ml,20.2,1.01,303.525,24,80,1.32
29,3347019,namibe,ao,-15.19,12.15,296.125,91,0,2.07
30,1337610,thinadhoo,mv,0.53,72.93,301.725,100,36,5.47
31,3661894,tonantins,br,-2.86,-67.77,295.225,99,20,1.22
32,5847411,kahului,us,20.89,-156.47,297.95,74,40,5.1
33,3628142,san jose de guanipa,ve,8.89,-64.17,296.225,84,0,6.02
34,4407665,kodiak,us,39.95,-94.76,300.15,74,1,3.6
35,2163355,hobart,au,-42.88,147.33,287.15,50,20,1.5
36,3892454,diego de almagro,cl,-26.39,-70.05,281.775,74,0,1.17
37,933018,manyana,bw,-24.78,25.59,275.15,65,0,2.6
38,6068416,mayo,ca,63.59,-135.9,285.15,66,75,3.1
39,2029156,suhbaatar,mn,50.23,106.21,299.725,51,0,2.12
40,3443061,chuy,uy,-33.69,-53.46,279.675,95,0,4.12
41,2508813,adrar,dz,27.87,-0.29,297.15,12,0,2.6
42,3163146,andenes,no,69.31,16.12,280.15,93,75,5.1
43,6957977,zhoucheng,cn,31.35,119.33,297.525,76,100,4.67
44,546105,nikolskoye,ru,59.7,30.79,285.15,46,20,4.0
45,541844,krasnyy bogatyr,ru,56.01,41.13,283.825,87,0,5.22
46,3868626,valparaiso,cl,-33.04,-71.63,283.96,71,0,1.07
47,5855927,hilo,us,19.71,-155.08,293.22,94,90,2.1
48,5983720,iqaluit,ca,63.75,-68.52,265.725,83,0,3.37
49,4020109,atuona,pf,-9.8,-139.03,299.375,100,76,6.92
50,3374083,bathsheba,bb,13.22,-59.52,298.15,83,75,8.2
51,1264976,leh,in,34.16,77.58,268.275,98,56,0.87
52,4036284,alofi,nu,-19.06,-169.92,299.15,88,92,0.5
53,6185377,yellowknife,ca,62.45,-114.38,285.15,100,20,3.1
54,3369157,cape town,za,-33.93,18.42,288.15,93,75,7.2
55,3471451,arraial do cabo,br,-22.97,-42.02,294.025,94,76,4.22
56,3424941,miquelon,pm,47.1,-56.38,279.525,92,92,8.82
57,6067747,matagami,ca,49.76,-77.63,277.15,64,1,4.1
58,663118,suceveni,ro,46.54,27.65,292.7,93,40,2.1
59,2383827,nola,cf,3.52,16.05,294.175,94,0,1.27
60,2094342,kavieng,pg,-2.57,150.8,303.075,100,80,3.52
61,3418910,upernavik,gl,72.79,-56.15,272.425,93,12,6.52
62,1015776,bredasdorp,za,-34.53,20.04,292.15,63,36,7.2
63,4980927,topsham,us,43.93,-69.98,283.59,87,1,1.5
64,2618795,klaksvik,fo,62.23,-6.59,281.15,81,44,1.5
65,4033557,tautira,pf,-17.73,-149.15,298.15,65,20,1.5
66,2161515,kiama,au,-34.67,150.86,288.15,77,90,2.6
67,2173911,broken hill,au,-31.97,141.45,292.725,61,80,2.72
68,3144369,nordfjordeid,no,61.91,5.99,286.79,81,20,2.1
69,5861897,fairbanks,us,64.84,-147.72,290.18,48,75,2.1
70,461163,balvi,lv,57.13,27.27,286.275,67,0,2.47
71,3877918,ovalle,cl,-30.6,-71.2,281.225,88,44,1.07
72,1791779,wanning,cn,18.8,110.4,303.525,97,12,4.77
73,3366880,hermanus,za,-34.42,19.24,286.925,88,48,5.77
74,241131,victoria,sc,-4.62,55.45,300.15,83,75,2.6
